Site,Mode,ModeFreq,Method
K36/0206-M1,96,0.96,Annual
K36/0210-M1,288,nan,Qtr1
K36/0213-M1,96,0.99,Annual
K36/0217-M1,96,0.91,Annual
K36/0218-M1,96,0.9,Annual
K36/0225-M1,96,0.75,Annual
K36/0239-M1,144,nan,Qtr1
K36/0319-M1,96,0.99,Annual
K36/0320-M1,96,0.86,Annual
K36/0335-M1,96,0.91,Annual
K36/0387-M1,96,0.92,Annual
K36/0486-M1,96,0.81,Annual
K36/0487-M1,96,0.97,Annual
K36/0532-M1,96,0.82,Annual
K36/0540-M1,0,0.99,Annual
K36/0549-M1,96,0.99,Annual
K36/0551-M1,96,0.98,Annual
K36/0577-M1,96,0.73,Annual
K36/0581-M1,96,0.95,Annual
K36/0583-M1,96,0.99,Annual
K36/0587-M1,96,,Qtr4
K36/0595-M1,96,1,Annual
K36/0600-M1,96,0.85,Annual
K36/0601-M1,96,0.94,Annual
K36/0611-M1,96,0.83,Annual
K36/0614-M1,96,0.98,Annual
K36/0615-M1,96,0.99,Annual
K36/0620-M1,96,0.94,Annual
K36/0624-M1,96,0.81,Annual
K36/0625-M1,96,0.66,Annual
K36/0628-M1,96,0.9,Annual
K36/0631-M1,96,0.92,Annual
K36/0638-M1,96,0.73,Annual
K36/0639-M1,96,0.85,Annual
K36/0640-M1,96,0.77,Annual
K36/0649-M1,96,0.88,Annual
K36/0651-M1,96,0.66,Annual
K36/0653-M1,96,0.99,Annual
K36/0654-M1,96,0.81,Annual
K36/0657-M1,96,0.75,Annual
K36/0666-M1,0,0.99,Annual
K36/0669-M1,0,0.88,Annual
K36/0673-M1,96,,Qtr4
K36/0675-M1,96,0.99,Annual
K36/0677-M1,96,0.79,Annual
K36/0678-M1,96,0.99,Annual
K36/0679-M1,96,,Qtr4
K36/0681-M1,96,0.99,Annual
K36/0687-M1,96,0.95,Annual
K36/0690-M1,96,0.51,Annual
K36/0691-M1,96,0.74,Annual
K36/0694-M1,96,0.83,Annual
K36/0695-M1,96,0.74,Annual
